#,Priority,Paper,Venue,arXiv / URL,BibTeX,Location in current draft ,Main message (one line),Why it matters here 
1,High,Correcting the Mythos of KL-Regularization: Direct Alignment without Overoptimization via Chi-Squared Preference Optimization (chi^2PO),ICLR 2025,arXiv:2407.13399,"@inproceedings{huang2025chipo,
  title={Correcting the Mythos of {KL}-Regularization: Direct Alignment without Overoptimization via $\chi^2$-Preference Optimization},
  author={Huang, Audrey and Zhan, Wenhao and Xie, Tengyang and Lee, Jason D. and Sun, Wen and Krishnamurthy, Akshay and Foster, Dylan J.},
  booktitle={International Conference on Learning Representations (ICLR)},
  year={2025}
}",NOT CITED. Related work para 3 (lines 697-706); Conclusion line 558 ('We do not claim that KL is preferable under every objective'); optionally Intro line 043.,"chi^2 (mixed with KL) regularization gives single-policy-concentrability guarantees against over-optimization, but only in the bandit/response-level setting; the natural 'why not chi^2?' objection to our KL-uniqueness claim.","Their coverage coefficient is trajectory-level chi^2 (their App. D), so their guarantee never touches the multi-step inner term; say this explicitly."
2,High,f-Divergence Regularized RLHF: Two Tales of Sampling and Unified Analyses,ICML 2026,arXiv:2605.06977,"@inproceedings{wu2026fdivergence,
  title={$f$-Divergence Regularized {RLHF}: Two Tales of Sampling and Unified Analyses},
  author={Wu, Di and Shi, Chengshuai and Yang, Jing and Shen, Cong},
  booktitle={International Conference on Machine Learning (ICML)},
  year={2026}
}","Intro lines 039-043 (f-divergence generalizations); Related work para 3, right after Wang et al. (2024) at lines 699-700.",Online RLHF with general f-divergence regularization gets O(log T) regret / O(1/T) gap via two sampling schemes; the on-policy side of general-f regularization.,"their guarantees use sampling from the current policy, which is exactly what off-policy permissibility rules out for every f except reverse KL."
3,High,Better Estimation of the Kullback-Leibler Divergence Between Language Models,NeurIPS 2025,arXiv:2504.10637,"@inproceedings{amini2025better,
  title={Better Estimation of the {K}ullback--{L}eibler Divergence Between Language Models},
  author={Amini, Afra and Vieira, Tim and Cotterell, Ryan},
  booktitle={Advances in Neural Information Processing Systems (NeurIPS)},
  year={2025}
}",Sec. 4 'Switching the estimator on and off' lines 475-483 and Fig. 7 (exact full-vocabulary arm); App. C.1 lines 1052-1056 ('exact regime available only when |A| is small'); App. D.16 vocabulary scaling.,A Rao-Blackwellized KL estimator (exact next-token summation instead of a single sampled token) has provably lower variance and stabilizes RLHF training. They use the whole vocab |A| at every position (token),"Their RB estimator is literally the ""exact inner term"" of Fig. 7 at token level, so in our App. C.1's ""available only when |A| is small"" should be softened."
4,High,Efficient KL Divergence Estimation via Truncated Top-K Integration for Large Language Models (TIKE),ACL 2026 (Long),https://aclanthology.org/2026.acl-long.405/,"@inproceedings{wang-etal-2026-efficient-kl,
  title = ""Efficient {KL} Divergence Estimation via Truncated Top-K Integration for Large Language Models"",
  author = ""Wang, Xinyuan and Jin, Luozhijie and Wang, Bo and Li, Yuan and Yin, Zhangyue and Qiu, Xipeng"",
  booktitle = ""Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"",
  month = jul, year = ""2026"", address = ""San Diego, California, United States"",
  publisher = ""Association for Computational Linguistics"",
  url = ""https://aclanthology.org/2026.acl-long.405/"", doi = ""10.18653/v1/2026.acl-long.405"", pages = ""8973--8985""
}","Same as above: lines 475-483, Fig. 7, App. C.1 lines 1052-1056, App. D.16.","Deterministic integration over the top-k tokens tracks the exact Rao-Blackwellized KL with near-zero variance at low memory, with importance weights for off-policy use.",Second published data point that the exact/near-exact next-token sum is cheap; together with Amini et al. it reframes 'exact arm' from control to practical option.
5,High,On the Design of KL-Regularized Policy Gradient Algorithms for LLM Reasoning (RPG),ICLR 2026,arXiv:2505.17508,"@inproceedings{zhang2026rpg,
  title={On the Design of {KL}-Regularized Policy Gradient Algorithms for {LLM} Reasoning},
  author={Zhang, Yifan and Liu, Yifeng and Yuan, Huizhuo and Yuan, Yang and Gu, Quanquan and Yao, Andrew Chi-Chih},
  booktitle={International Conference on Learning Representations (ICLR)},
  year={2026}
}","Sec. 3.3 lines 343-352 (Schulman low-variance estimator, importance weighting); Intro lines 044-049 (off-policy compromises); Related work para 1 lines 679-687.","Unified derivation of forward/reverse, normalized/unnormalized KL regularizers with correct gradient estimators and clipped importance-sampling variants for off-policy LLM RL. Overall, an interesintg paper.",Shows the estimator-design question we raise for general Omega is live even for KL itself in on-policy RL.
6,High,Rethinking KL Regularization in RLHF: From Value Estimation to Gradient Optimization,ICLR 2026,arXiv:2510.01555,"@inproceedings{liu2026rethinking,
  title={Rethinking {KL} Regularization in {RLHF}: From Value Estimation to Gradient Optimization},
  author={Liu, Kezhao and Liu, Jason Klein and Chen, Mingtao and Liu, Yiming},
  booktitle={International Conference on Learning Representations (ICLR)},
  year={2026}
}",Sec. 3.3 lines 343-352; Sec. 4 lines 475-483 (three estimator arms).,k1/k2/k3 KL estimators used as losses vs. rewards: 'k3 as loss' (GRPO) is a biased first-order approximation with a chi^2-like heavy tail; gives principled off-policy corrections.,"Their heavy-tail finding for k3 is the same 1/u mechanism as our Fig. 6-7, seen from the KL-only side."
7,High,KL-Regularized RLHF with Multiple Reference Models: Exact Solutions and Sample Complexity,NeurIPS 2025,arXiv:2502.01203,"@inproceedings{aminian2025multiref,
  title={{KL}-Regularized {RLHF} with Multiple Reference Models: Exact Solutions and Sample Complexity},
  author={Aminian, Gholamali and Asadi, Amir R. and Shenfeld, Idan and Mroueh, Youssef},
  booktitle={Advances in Neural Information Processing Systems (NeurIPS)},
  year={2025}
}","Related work para 1, lines 684-686 (after Vieillard et al. 2020 on why KL has strong guarantees).","First exact solution and sample-complexity analysis for reverse-KL RLHF with several reference models, extended to forward KL.",Recent KL-theory anchor; also a clean reverse-vs-forward-KL contrast to cite alongside our forward-KL results.
8,High,Agentic Reinforcement Learning with Implicit Step Rewards (iStar),ICLR 2026,https://proceedings.iclr.cc/paper_files/paper/2026/file/d1e6739f319be4ba8e748cc05f23bba1-Paper-Conference.pdf,"@inproceedings{liu2026istar,
  title={Agentic Reinforcement Learning with Implicit Step Rewards},
  author={Liu, Xiaoqian and Wang, Ke and Wu, Yuchuan and Huang, Fei and Li, Yongbin and Jiao, Jianbin and Zhang, Junge},
  booktitle={International Conference on Learning Representations (ICLR)},
  year={2026}
}",Sec. 2 lines 171-178 (bandit DPO transplanted to MDP); Related work para 3 lines 700-703 (next to Cho et al. / Kim et al.); Conclusion lines 557-563 (multi-turn direction).,"A multi-turn DPO objective derived from a multi-step MDP (not a bandit) yields step-wise implicit rewards from trajectory preferences, used as an implicit PRM for agentic RL.","Published example of exactly the multi-step implicit-reward setting where our inner term appears; they use reverse KL, so our theorem explains why it works off-policy."
9,High,Autoregressive Direct Preference Optimization (ADPO),ICML 2026,arXiv:2602.09533,"@inproceedings{oi2026adpo,
  title={Autoregressive Direct Preference Optimization},
  author={Oi, Masanari and Ukai, Mahiro and Kaneko, Masahiro and Okazaki, Naoaki and Inoue, Nakamasa},
  booktitle={International Conference on Machine Learning (ICML)},
  year={2026}
}",Sec. 2 lines 171-178; Related work para 3 lines 697-706.,"Introduces the autoregressive (token-level) assumption before the Bradley-Terry model, separating token length from feedback length, and derives a token-level DPO loss.",Same bandit-vs-token-MDP distinction we draw at lines 171-178; cite as a 2026 published instance. Discussed in Slack
10,Medium,Is On-Policy Data always the Best Choice for Direct Preference Optimization-based LM Alignment?,ICLR 2026,arXiv:2508.10530,"@inproceedings{sun2026onpolicy,
  title={Is On-Policy Data always the Best Choice for Direct Preference Optimization-based {LM} Alignment?},
  author={Sun, Zetian and Li, Dongfang and Chen, Xuhui and Hu, Baotian and Zhang, Min},
  booktitle={International Conference on Learning Representations (ICLR)},
  year={2026}
}",Intro lines 044-051 (off-policy premise); App. C.5 lines 1227-1230 (on- vs off-policy preference data).,On-policy preference data is not uniformly better; alignment proceeds in stages where diverse off-policy data helps early and high-quality data later.,"Supports the premise that off-policy preference data is used deliberately, not only for compute reasons. "
